id,url,text,rating,time_created,user,business_id
8vxcG-frKT45XxKDdyRTjQ,https://www.yelp.com/biz/trestle-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=8vxcG-frKT45XxKDdyRTjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,This was my first time here at Trestle with my friend and the ambiance was amazing. Joel the bartender was awesome and very attentive. The vibe and music...,5,2022-07-08 21:55:51,"{'id': 'wARPT6TBllO2szkkhhjufA', 'profile_url': 'https://www.yelp.com/user_details?userid=wARPT6TBllO2szkkhhjufA', 'image_url': None, 'name': 'Raysa R.'}",W0sXHSSpkiMEDJiBmSLNYQ
gaOle31H1e3GL0Kpyf6Yaw,https://www.yelp.com/biz/trestle-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=gaOle31H1e3GL0Kpyf6Yaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,Nice vibes in here. I came on a humble. Alone ready to try it out! Place was packed. I had a seat at the bar in front of all the tv's watching the NY...,5,2022-07-24 04:35:49,"{'id': 'QuWYxm3ij1Qsa9mUH371Xw', 'profile_url': 'https://www.yelp.com/user_details?userid=QuWYxm3ij1Qsa9mUH371Xw', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/dpnEsvnW8XmKW2Tn-twy6w/o.jpg', 'name': 'Sacheen V.'}",W0sXHSSpkiMEDJiBmSLNYQ
vwHOl0_1T7EXZV1tDpa_uQ,https://www.yelp.com/biz/trestle-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=vwHOl0_1T7EXZV1tDpa_uQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,"Food was good and the seat booth was solid seating choice. Which surprisingly is somehow hard to come by nowadays.

Got the loader poppers. It was poppin,...",4,2022-07-23 18:08:53,"{'id': 'PewlvbzvPSzVj2WnVZ7s4w', 'profile_url': 'https://www.yelp.com/user_details?userid=PewlvbzvPSzVj2WnVZ7s4w', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/m4Ki6Ps5r-9heSgNQbQj8g/o.jpg', 'name': 'Kai J.'}",W0sXHSSpkiMEDJiBmSLNYQ
0-TtFH40vsPthH7Css5lfg,https://www.yelp.com/biz/the-shady-lady-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=0-TtFH40vsPthH7Css5lfg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,"I walked in without a reservation on 1:30 pm in the middle of an afternoon and was able to get a table.  My friend had her birthday two weeks ago, and we've...",5,2022-06-18 05:51:34,"{'id': 'FmLwFMr885MIFgcHk631Cg', 'profile_url': 'https://www.yelp.com/user_details?userid=FmLwFMr885MIFgcHk631Cg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/8PafNFh366P9bcQWP65lWg/o.jpg', 'name': 'Polly H.'}",_HBpi2PIG8Zxz01Pr41MIw
Nlb6aW0RlggxXoW-Jt4KEw,https://www.yelp.com/biz/the-shady-lady-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=Nlb6aW0RlggxXoW-Jt4KEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,"I had a good time here during happy hour. $7 margaritas! Get the watermelon one please!
I have the truffle and shrooms Mac and cheese for apps and the shady...",5,2022-06-09 07:30:13,"{'id': 'sBjpUbgILjlck5BD-flF9Q', 'profile_url': 'https://www.yelp.com/user_details?userid=sBjpUbgILjlck5BD-flF9Q', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/ri3-fGpPUc6Un-CLzqRnxw/o.jpg', 'name': 'Angela L.'}",_HBpi2PIG8Zxz01Pr41MIw
ZpYv2AQFhnYFs4kEBGcqYg,https://www.yelp.com/biz/the-shady-lady-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=ZpYv2AQFhnYFs4kEBGcqYg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,"All the great makings of a brunch spot!

- Multiple drinks included with entree (alcoholic AND tea/coffee). 

- Yummy food (loved my biscuit w gravy and...",5,2022-06-05 09:43:23,"{'id': 'giQSReOdlfwPd9dND2FvDg', 'profile_url': 'https://www.yelp.com/user_details?userid=giQSReOdlfwPd9dND2FvDg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/D_lL3q_tGU7pOiCiqyQjxg/o.jpg', 'name': 'Giovanna D.'}",_HBpi2PIG8Zxz01Pr41MIw
d4jIBM7x_rcmRYm6kXZIYg,https://www.yelp.com/biz/carla-long-island-city?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=d4jIBM7x_rcmRYm6kXZIYg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,"Fresh looking bar. Let's go hang out for the good vybez and I'll grab a mocktail or something. 

But wait they have - Food.

Snacks?

Vietnamese food....",5,2022-07-21 11:42:41,"{'id': 'UtVzbmtcesePy8AT4ptkrg', 'profile_url': 'https://www.yelp.com/user_details?userid=UtVzbmtcesePy8AT4ptkrg', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/dMMqUDNbq0Taso91vQ-3Gg/o.jpg', 'name': 'Moe M.'}",uQ0kF3fiJFDm0oDVRaMBkw
QU_j5AiEe5EcXO5co9dgXw,https://www.yelp.com/biz/carla-long-island-city?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=QU_j5AiEe5EcXO5co9dgXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,"As soon as I made my reservation, the restaurant confirmed a table for four by email. We arrived and were told that no table was available. They offered...",1,2022-07-20 10:46:15,"{'id': '3x33O9gSFyx4Yj8Surff-Q', 'profile_url': 'https://www.yelp.com/user_details?userid=3x33O9gSFyx4Yj8Surff-Q', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/BK5vIyUvs0SzvAw4HMUO0g/o.jpg', 'name': 'Sass P.'}",uQ0kF3fiJFDm0oDVRaMBkw
WpWf-7Xgxpy4O-G2RFwxEQ,https://www.yelp.com/biz/carla-long-island-city?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=WpWf-7Xgxpy4O-G2RFwxEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,I had Carla's for dinner after seeing all the great reviews that it has. The vibes were great. Decor and music is super trendy. This is a smalllll space....,4,2022-07-09 09:28:52,"{'id': '44mA3yz4gv3MRvtDYx29Kg', 'profile_url': 'https://www.yelp.com/user_details?userid=44mA3yz4gv3MRvtDYx29Kg', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/8RKOSBOGkaUuPJ2V_418-Q/o.jpg', 'name': 'Kate W.'}",uQ0kF3fiJFDm0oDVRaMBkw
aFQK3wlInpxHGhLOLSwHLA,https://www.yelp.com/biz/the-highwater-astoria?adjust_creative=A57LwVZ5W7txZHbVlG9Tnw&hrid=aFQK3wlInpxHGhLOLSwHLA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=A57LwVZ5W7txZHbVlG9Tnw,"Last night was our first time at this restaurant. We sat outside and had a lovely meal. We will definitely return. Special shout out to our adorable waiter,...",4,2022-06-25 10:49:30,"{'id': 'S0XAuRNnhcGag_R3VcRj6g', 'profile_url': 'https://www.yelp.com/user_details?userid=S0XAuRNnhcGag_R3VcRj6g', 'image_url': None, 'name': 'Joel N.'}",k5bGHJbAXDw9g_uP42QqDw
